S	Price	Model	Max_Speed	App_Version
987	4083	I555	16	1.7
626	4021	K777	18	
226	3741	I555	31	1.5
572	4085	W333	35	
656	5126	X111	19	1.7
886	4279	I555	32	1.3
327	3675	Q111	17	1.5
344	5116	W333	27	1.5
844	4161	Z111	25	
476	4690	X111	16	1.6
762	4182	Z111	25	1.5
553	4776	K777	34	
198	5049	E111	19	
452	4115	I555	28	1.4
541	4969	Z111	22	
324	4237	Q111	19	1.6
168	4865	Y111	28	1.5
924	3621	I555	22	1.4
882	3531	I555	29	
897	3788	K777	20	1.6
851	3705	Y111	24	1.3
587	5257	X111	26	
748	4932	Z111	26	1.7
702	3797	E111	22	1.5
900	4997	Q111	26	
991	4108	X111	32	
141	4656	X111	24	
722	4792	E111	15	
743	5332	X111	23	1.5
153	5150	Q111	31	
421	4604	K777	31	
731	4868	Y111	26	1.5
669	4875	I555	17	1.6
537	4438	K777	35	1.7
303	5056	Z111	21	
325	5243	X111	16	1.6
423	5481	X111	20	
520	3818	Q111	26	1.7
559	5365	X111	17	1.4
267	4727	W333	23	1.5
885	3559	I555	20	
322	4730	E111	23	1.4
709	5246	W333	30	
973	3692	W333	35	1.7
663	5323	X111	30	
251	4643	K777	31	
297	4347	K777	32	1.6
721	4444	K777	32	1.4
175	5058	X111	31	
180	4313	E111	23	
